City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,kittila,67.6647,24.8936,-12.5,97,95,0.35,FI,1713756015
328,severnoye,56.3491,78.3619,3.77,81,100,4.94,RU,1713756015
329,coahuayana de hidalgo,18.7,-103.6583,21.15,90,0,0.76,MX,1713756015
330,chikhli,20.35,76.25,28.14,39,99,2.87,IN,1713756015
331,richards bay,-28.783,32.0377,20.47,95,39,3.21,ZA,1713756016
332,xining,36.6167,101.7667,12.73,33,4,2.2,CN,1713756016
333,alupka,44.4167,34.05,10.57,71,97,5.17,UA,1713756016
334,haiku-pauwela,20.9219,-156.3051,22.17,76,37,6.39,US,1713756017
335,magaramkent,41.6159,48.348,16.81,61,70,1.54,RU,1713756017
336,gobabis,-22.45,18.9667,18.15,43,0,4.63,NA,1713756017
337,yuzhnoural'sk,54.4418,61.2536,14.9,70,99,4.18,RU,1713756017
338,fada,9.5667,8.3,22.01,84,100,0.97,NG,1713756018
339,saynshand,44.8824,110.1163,7.41,30,11,7.13,MN,1713756018
340,sechura,-5.5569,-80.8222,23.76,73,70,4.71,PE,1713756018
341,maintirano,-18.0667,44.0167,23.45,81,0,4.06,MG,1713756019
342,fort mcmurray,56.7268,-111.381,9.0,44,96,1.75,CA,1713756019
343,murzuq,25.9155,13.9184,26.18,11,100,4.7,LY,1713756019
344,ugbokpo,7.6565,7.8664,25.1,86,99,1.64,NG,1713756019
345,birao,10.2849,22.7882,26.98,52,39,2.22,CF,1713756020
346,tamandare,-8.7597,-35.1047,25.58,88,67,0.84,BR,1713756020
347,aykhal,66.0,111.5,0.5,100,100,2.73,RU,1713756021
348,bolkhov,53.4433,36.0044,7.52,75,76,7.47,RU,1713756021
349,mount isa,-20.7333,139.5,27.02,25,6,8.39,AU,1713756021
350,kajuru,10.3192,7.6892,23.38,76,86,1.34,NG,1713756021
351,sunne,59.8376,13.143,-3.35,73,8,2.25,SE,1713756022
352,ocos,14.5094,-92.1933,28.52,76,14,2.78,GT,1713756022
353,sebastopol,44.6,33.5333,10.39,66,75,3.67,UA,1713756022
354,ghat,24.9647,10.1728,27.9,10,69,5.34,LY,1713756022
355,cocachacra,-17.0883,-71.7575,19.98,84,100,1.53,PE,1713756023
356,cobija,-11.0267,-68.7692,26.9,78,100,1.26,BO,1713756023
357,chota,-6.55,-78.65,13.09,92,96,1.43,PE,1713756023
358,sao tome,0.3365,6.7273,28.28,83,76,2.66,ST,1713756023
359,usogorsk,63.4106,48.6872,-3.21,86,100,3.05,RU,1713756024
360,palmas,-10.2128,-48.3603,24.52,91,100,1.34,BR,1713756024
